timestamp,sender,classification,confidence,suspicious_keywords,total_urls,ip_based_urls,shortened_urls,html_tags,javascript,suspicious_domain
2025-11-29T00:26:21.784256,scammer@fake-bank.com,phishing,0.5222165574633054,3,0,0,0,0,0,1
2025-11-29T00:26:31.080437,colleague@company.com,legitimate,0.6052515039803503,0,0,0,0,0,0,0
2025-11-29T00:26:57.892764,scammer@fake-bank.com,phishing,0.5222165574633054,4,1,0,1,0,0,1
2025-11-29T00:26:57.897406,colleague@company.com,legitimate,0.6052515039803503,0,0,0,0,0,0,0
2025-11-29T00:26:57.902776,security@fake-paypal.com,phishing,0.5931883392802249,4,1,1,0,0,0,0
2025-11-29T00:26:57.909672,orders@amazon.com,legitimate,0.6025734287431561,0,0,0,0,0,0,0
2025-11-29T00:26:57.914955,support@warranty-service.net,legitimate,0.5103575516057636,0,0,0,0,0,0,0
2025-11-29T00:28:02.644558,security@bank-alert.com,phishing,0.6126130692634966,13,1,1,0,0,0,0
2025-11-29T00:28:09.160326,security@bank-alert.com,phishing,0.6126130692634966,13,1,1,0,0,0,0
2025-11-29T00:29:03.746258,scammer@fake-bank.com,phishing,0.5222165574633054,4,1,0,1,0,0,1
2025-11-29T00:29:03.750125,colleague@company.com,legitimate,0.6052515039803503,0,0,0,0,0,0,0
2025-11-29T00:29:03.754401,security@fake-paypal.com,phishing,0.5931883392802249,4,1,1,0,0,0,0
2025-11-29T00:29:03.762085,orders@amazon.com,legitimate,0.6025734287431561,0,0,0,0,0,0,0
2025-11-29T00:29:03.816936,support@warranty-service.net,legitimate,0.5103575516057636,0,0,0,0,0,0,0
2025-11-29T00:29:17.127088,winner@lottery-scam.com,phishing,0.5222165574633054,4,1,0,1,0,0,0
2025-11-29T00:29:31.382065,manager@company.com,legitimate,0.6052515039803503,0,0,0,0,0,0,0
2025-11-29T00:29:46.358077,security@bank.com,phishing,0.6126130692634966,13,1,1,0,0,0,0
